cuenta_origen,cuenta destino,monto,motivo,num identificacion benef,nombre benef,fecha registro
923549827,1234135135,23.67,Motivo 1,1734298434,Nombre 1,5/3/2026
3453452354,98765442,125.76,Motivo 2,1734298435,Nombre 2,5/4/2026
23542345,9876543,227.85,Motivo 3,1734298436,Nombre 3,5/5/2026
2352345,123564568,329.94,Motivo 4,1734298437,Nombre 4,5/6/2026
23542345785,23452346,432.03,Motivo 5,1734298438,Nombre 5,5/7/2026
235234525,457567382,534.12,Motivo 6,1734298439,Nombre 6,5/8/2026
98734231,67534752646,636.21,Motivo 7,1734298440,Nombre 7,5/9/2026
345237562,72352347345,738.3,Motivo 8,1734298441,Nombre 8,5/10/2026
698743546,37246573,840.39,Motivo 9,1734298442,Nombre 9,5/11/2026
908742352,365425312,942.48,Motivo 10,1734298443,Nombre 10,5/12/2026
908726452,2362456236,1044.57,Motivo 11,1734298444,Nombre 11,5/13/2026
908724243,265478793,1146.66,Motivo 12,1734298445,Nombre 12,5/14/2026
132672835,341235657,1248.75,Motivo 13,1734298446,Nombre 13,5/15/2026
248246347,56783452789,1350.84,Motivo 14,1734298447,Nombre 14,5/16/2026
2483584678,98765442,1452.93,Motivo 15,1734298448,Nombre 15,5/17/2026
24735676787,2123457869,1555.02,Motivo 16,1734298449,Nombre 16,5/18/2026
984573536,24674678724,1657.11,Motivo 17,1734298450,Nombre 17,5/19/2026
245747859,356723542,1759.2,Motivo 18,1734298451,Nombre 18,5/20/2026
243587892,2345776763,1861.29,Motivo 19,1734298452,Nombre 19,5/21/2026
